gps__class,gps__device,gps__ecefpAcc,gps__ecefvAcc,gps__ecefvx,gps__ecefvy,gps__ecefvz,gps__ecefx,gps__ecefy,gps__ecefz,gps__epc,gps__eph,gps__eps,gps__ept,gps__epv,gps__epx,gps__epy,gps__geoidSep,gps__lat,gps__leapseconds,gps__lon,gps__magvar,gps__mode,gps__sep,gps__speed,gps__status,gps__time,i2c__barometer__altitude,i2c__barometer__pressure,i2c__barometer__temperature,i2c__imu1__accel__accel_range,i2c__imu1__accel__in,i2c__imu1__accel__x,i2c__imu1__accel__x_raw,i2c__imu1__accel__y,i2c__imu1__accel__y_raw,i2c__imu1__accel__z,i2c__imu1__accel__z_raw,i2c__imu1__gyro__gyro_range,i2c__imu1__gyro__x,i2c__imu1__gyro__x_raw,i2c__imu1__gyro__y,i2c__imu1__gyro__y_raw,i2c__imu1__gyro__z,i2c__imu1__gyro__z_raw,i2c__imu1__temperature,i2c__imu2__accel__accel_range,i2c__imu2__accel__in,i2c__imu2__accel__x,i2c__imu2__accel__x_raw,i2c__imu2__accel__y,i2c__imu2__accel__y_raw,i2c__imu2__accel__z,i2c__imu2__accel__z_raw,i2c__imu2__gyro__gyro_range,i2c__imu2__gyro__x,i2c__imu2__gyro__x_raw,i2c__imu2__gyro__y,i2c__imu2__gyro__y_raw,i2c__imu2__gyro__z,i2c__imu2__gyro__z_raw,i2c__imu2__temperature,i2c__imu3__accel__accel_range,i2c__imu3__accel__in,i2c__imu3__accel__x,i2c__imu3__accel__x_raw,i2c__imu3__accel__y,i2c__imu3__accel__y_raw,i2c__imu3__accel__z,i2c__imu3__accel__z_raw,i2c__imu3__gyro__gyro_range,i2c__imu3__gyro__x,i2c__imu3__gyro__x_raw,i2c__imu3__gyro__y,i2c__imu3__gyro__y_raw,i2c__imu3__gyro__z,i2c__imu3__gyro__z_raw,i2c__imu3__temperature,i2c__imu4__accel__accel_range,i2c__imu4__accel__in,i2c__imu4__accel__x,i2c__imu4__accel__x_raw,i2c__imu4__accel__y,i2c__imu4__accel__y_raw,i2c__imu4__accel__z,i2c__imu4__accel__z_raw,i2c__imu4__gyro__gyro_range,i2c__imu4__gyro__x,i2c__imu4__gyro__x_raw,i2c__imu4__gyro__y,i2c__imu4__gyro__y_raw,i2c__imu4__gyro__z,i2c__imu4__gyro__z_raw,i2c__imu4__temperature,i2c__timestamp
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.70396642090416,1011.25,32.3,0,m/s^2,-0.0047884033203125,-8,0.01915361328125,32,10.002974536132811,16712,0,-4.030534351145038,-528,1.5877862595419847,208,-0.17557251908396945,-23,33.80058823529412,0,m/s^2,-0.0909796630859375,-152,-0.1771709228515625,-296,9.809044201660155,16388,0,2.8244274809160306,370,-1.4580152671755726,-191,-0.4122137404580153,-54,29.330000000000002,0,m/s^2,-1.3551181396484375,-2264,-0.39264907226562495,-656,12.751518041992187,21304,0,0.9465648854961832,124,-0.5572519083969466,-73,0.4580152671755725,60,29.56529411764706,0,m/s^2,-0.4333505004882812,-724,-0.35673604736328124,-596,9.758765966796874,16304,0,-3.618320610687023,-474,0.45038167938931295,59,-2.5343511450381677,-332,32.71823529411765,2023-09-28T16:41:00.103805
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.787419018961696,1011.26,32.3,0,m/s^2,-0.062249243164062495,-104,-0.16041151123046873,-268,9.41639512939453,15732,0,-3.931297709923664,-515,1.4122137404580153,185,-0.4122137404580153,-54,33.75352941176471,0,m/s^2,0.047884033203124995,80,-0.258573779296875,-432,9.53131680908203,15924,0,2.8702290076335877,376,-1.5725190839694656,-206,-0.26717557251908397,-35,29.28294117647059,0,m/s^2,-1.3383587280273437,-2236,-0.24899697265624998,-416,12.38520518798828,20692,0,1.1374045801526718,149,-1.015267175572519,-133,0.732824427480916,96,29.659411764705883,0,m/s^2,-0.16998831787109375,-284,-0.6081272216796875,-1016,9.208099584960937,15384,0,-3.4885496183206106,-457,1.251908396946565,164,-2.404580152671756,-315,32.76529411764706,2023-09-28T16:41:00.200734
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.453604617453014,1011.22,32.3,0,m/s^2,-0.031124621582031248,-52,-0.1292868896484375,-216,9.576806640625,16000,0,-4.099236641221374,-537,1.3129770992366412,172,-0.09923664122137404,-13,33.84764705882353,0,m/s^2,0.05746083984375,96,-0.26815058593749996,-448,9.524134204101562,15912,0,2.9923664122137406,392,-1.549618320610687,-203,-0.6106870229007634,-80,29.141764705882352,0,m/s^2,-1.5394716674804687,-2572,-0.16041151123046873,-268,12.389993591308594,20700,0,1.0,131,-0.732824427480916,-96,0.46564885496183206,61,29.706470588235295,0,m/s^2,-0.5434837768554687,-908,-0.4644751220703125,-776,9.327809667968749,15584,0,-3.404580152671756,-446,1.4122137404580153,185,-2.122137404580153,-278,32.71823529411765,2023-09-28T16:41:00.302798
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.620513154638452,1011.24,32.3,0,m/s^2,0.07422025146484375,124,-0.24181436767578124,-404,10.022128149414062,16744,0,-4.076335877862595,-534,1.6412213740458015,215,-0.0916030534351145,-12,33.894705882352945,0,m/s^2,0.11252747802734374,188,-0.040701428222656245,-68,9.514557397460937,15896,0,2.9389312977099236,385,-1.3511450381679388,-177,-0.45038167938931295,-59,29.23588235294118,0,m/s^2,-1.484405029296875,-2480,-0.3687070556640625,-616,12.512097875976561,20904,0,0.916030534351145,120,-0.648854961832061,-85,0.48854961832061067,64,29.04764705882353,0,m/s^2,-0.5195417602539062,-868,-0.35194764404296874,-588,9.545682019042967,15948,0,-3.4122137404580153,-447,0.4580152671755725,60,-2.50381679389313,-328,33.47117647058823,2023-09-28T16:41:00.400150
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.620513154638452,1011.24,32.3,0,m/s^2,0.105344873046875,176,-0.2537853759765625,-424,9.828197814941406,16420,0,-4.213740458015267,-552,1.9236641221374047,252,-0.007633587786259542,-1,33.80058823529412,0,m/s^2,-0.12210428466796874,-204,-0.0909796630859375,-152,9.991003527832031,16692,0,2.8702290076335877,376,-1.5572519083969465,-204,-0.5343511450381679,-70,29.188823529411767,0,m/s^2,-1.6041151123046875,-2680,-0.3758896606445312,-628,12.706028210449219,21228,0,0.916030534351145,120,-0.022900763358778626,-3,0.6870229007633588,90,29.61235294117647,0,m/s^2,-0.45489831542968745,-760,-0.43574470214843747,-728,9.686939916992188,16184,0,-3.6717557251908395,-481,0.6564885496183206,86,-2.3587786259541983,-309,32.71823529411765,2023-09-28T16:41:00.501345
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.954322210531018,1011.28,32.3,0,m/s^2,0.028730419921875,48,-0.0430956298828125,-72,10.12507882080078,16916,0,-4.412213740458015,-578,1.984732824427481,260,-0.20610687022900764,-27,33.75352941176471,0,m/s^2,-0.1197100830078125,-200,-0.16041151123046873,-268,9.82580361328125,16416,0,3.053435114503817,400,-1.7938931297709924,-235,-0.1984732824427481,-26,29.188823529411767,0,m/s^2,-1.350329736328125,-2256,-0.2059013427734375,-344,12.449848632812499,20800,0,1.1603053435114503,152,-0.5801526717557252,-76,0.7862595419847328,103,29.659411764705883,0,m/s^2,-0.3806780639648437,-636,-0.4955997436523437,-828,9.442731347656249,15776,0,-3.786259541984733,-496,0.5572519083969466,73,-2.267175572519084,-297,33.33,2023-09-28T16:41:00.600122
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.954322210531018,1011.28,32.3,0,m/s^2,0.016759411621093748,28,-0.10773907470703124,-180,9.85692823486328,16468,0,-5.801526717557252,-760,1.9236641221374047,252,-0.2824427480916031,-37,33.84764705882353,0,m/s^2,-0.15322890625,-256,-0.02633621826171875,-44,9.617508068847656,16068,0,2.8931297709923665,379,-1.7251908396946565,-226,-0.549618320610687,-72,29.23588235294118,0,m/s^2,-1.2808978881835937,-2140,-0.33039982910156246,-552,12.471396447753905,20836,0,1.015267175572519,133,-0.04580152671755725,-6,0.5725190839694656,75,29.659411764705883,0,m/s^2,-0.33758243408203126,-564,-0.5219359619140624,-872,9.672574707031249,16160,0,-3.8091603053435112,-499,0.31297709923664124,41,-2.5419847328244276,-333,32.624117647058824,2023-09-28T16:41:00.700203
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.954322210531018,1011.28,32.3,0,m/s^2,0.01915361328125,32,0.04548983154296875,76,9.349357482910156,15620,0,-4.427480916030534,-580,1.3969465648854962,183,-0.21374045801526717,-28,33.80058823529412,0,m/s^2,0.229843359375,384,-0.21068974609375,-352,9.890447058105469,16524,0,2.763358778625954,362,-1.5267175572519085,-200,-0.48091603053435117,-63,29.28294117647059,0,m/s^2,-1.5634136840820312,-2612,-0.30885201416015623,-516,12.696451403808593,21212,0,1.0381679389312977,136,-0.5267175572519084,-69,0.366412213740458,48,29.04764705882353,0,m/s^2,-0.5482721801757812,-916,-0.2537853759765625,-424,9.550470422363281,15956,0,-3.7251908396946565,-488,1.2671755725190839,166,-2.0763358778625953,-272,32.71823529411765,2023-09-28T16:41:00.800137
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-16.954322210531018,1011.28,32.3,0,m/s^2,-0.11252747802734374,-188,-0.16759411621093748,-280,9.555258825683593,15964,0,-4.290076335877862,-562,1.3435114503816794,176,-0.2900763358778626,-38,33.894705882352945,0,m/s^2,-0.06464344482421874,-108,-0.21787235107421873,-364,9.873687646484374,16496,0,2.9236641221374047,383,-1.4580152671755726,-191,-0.3893129770992366,-51,29.141764705882352,0,m/s^2,-1.5155296508789062,-2532,-0.5698199951171875,-952,12.703634008789061,21224,0,0.9770992366412213,128,-0.6793893129770993,-89,0.5725190839694656,75,29.000588235294117,0,m/s^2,-0.7254431030273437,-1212,-0.33039982910156246,-552,9.30147344970703,15540,0,-3.564885496183206,-467,0.916030534351145,120,-2.49618320610687,-327,32.671176470588236,2023-09-28T16:41:00.900142
TPV,/dev/ttyS0,8.93,0.65,-0.05,0.05,-0.03,-2451474.3,5832805.12,-803432.54,143.52,39.71,0.65,0.005,71.76,3.732,1.982,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:00.000Z,-17.455015749660415,1011.34,32.3,0,m/s^2,0.4477157104492187,748,-0.39743747558593745,-664,9.555258825683593,15964,0,-4.229007633587786,-554,1.9541984732824427,256,-0.29770992366412213,-39,33.84764705882353,0,m/s^2,-0.13168109130859373,-220,-0.2753331909179687,-460,9.94072529296875,16608,0,2.83206106870229,371,-1.450381679389313,-190,-0.16793893129770993,-22,29.28294117647059,0,m/s^2,-1.6208745239257811,-2708,-0.27293898925781246,-456,12.600683337402343,21052,0,0.9770992366412213,128,-0.37404580152671757,-49,0.5419847328244275,71,29.706470588235295,0,m/s^2,-0.5913678100585937,-988,-0.354341845703125,-592,9.296685046386719,15532,0,-3.6564885496183206,-479,1.2595419847328244,165,-2.1908396946564888,-287,32.71823529411765,2023-09-28T16:41:01.000145
